nmi,ari,pur
0.008818466156215872,-0.020099332609033044,0.4666666666666667
0.013922381808086477,-0.02208149510527,0.4666666666666667
0.2383907929804926,0.2515394992005194,0.7047619047619048
0.24027772666237596,0.24443011185783303,0.6952380952380952
0.3365998886697879,0.3615028642206018,0.7619047619047619
0.3272877542646628,0.3465322577497824,0.7523809523809524
0.35206994642101275,0.38680546503414887,0.7714285714285715
0.3723248379394297,0.4112828404169508,0.780952380952381
0.3832278658813627,0.4178899436196872,0.780952380952381
0.366124920744526,0.4082303372974152,0.780952380952381
0.366124920744526,0.4082303372974152,0.780952380952381
0.39711612599358154,0.45026811029096164,0.8
0.35206994642101275,0.38680546503414887,0.7714285714285715
0.3864837323846322,0.433109801120889,0.7904761904761904
0.38384292331941045,0.43505658636224603,0.7904761904761904
0.017287375032290567,0.003002806887594354,0.5238095238095238
0.32492018679308926,0.33140554334150457,0.7619047619047619
0.3757446006100592,0.3800168661748518,0.780952380952381
0.3893676177306845,0.3987809215257172,0.7904761904761904
0.3749304400233567,0.40513104170559044,0.8
0.3530372435996359,0.38407085324989765,0.7904761904761904
0.42279781627229024,0.46045452458723884,0.819047619047619
0.42279781627229024,0.46045452458723884,0.819047619047619
0.42279781627229024,0.46045452458723884,0.819047619047619
0.42279781627229024,0.46045452458723884,0.819047619047619
0.42279781627229024,0.46045452458723884,0.819047619047619
0.42279781627229024,0.46045452458723884,0.819047619047619
0.42279781627229024,0.46045452458723884,0.819047619047619
0.42064782496775976,0.45616422991460503,0.819047619047619
0.42064782496775976,0.45616422991460503,0.819047619047619
0.06475792703145608,0.052781363435531824,0.5714285714285714
0.22636330784354908,0.19105744467817268,0.6761904761904762
0.25362480980689417,0.22820327688679287,0.6952380952380952
0.25362480980689417,0.22820327688679287,0.6952380952380952
0.2919475756872859,0.2938741908563953,0.7333333333333333
0.3098036433142569,0.31620422080850263,0.7428571428571429
0.3320804541164406,0.35393618588049797,0.7619047619047619
0.3893567023903304,0.4392197314754361,0.8
0.4077308668469544,0.46408000048251197,0.8095238095238095
0.4196286906337386,0.4713988651486441,0.8095238095238095
0.42122200929152653,0.47401589339871397,0.8095238095238095
0.3999351592099663,0.45174946101329505,0.8
0.4140861116230191,0.4672163282046333,0.8095238095238095
0.4231919707347981,0.4775055756148275,0.8095238095238095
0.4045563821777978,0.46066264295722786,0.8
0.0197155651554689,0.015334391566084673,0.5238095238095238
0.23768697519950382,0.2475484414782542,0.7238095238095238
0.37549839471858193,0.4100527074053061,0.8
