,Q
0,0.36766915028658587
1,0.3838988061094546
2,0.364792800987898
3,0.3674879296207294
4,0.3653801183839651
5,0.35740370177474423
6,0.3725346967354223
7,0.36254048699796715
8,0.3705072588098456
9,0.36825866737327495
10,0.380612129906283
11,0.3723868098428371
12,0.357839578931837
13,0.368882702682032
14,0.36858879017354207
