nmi,ari,pur
0.02320883008260611,-0.033595351789636255,0.4541984732824427
0.029010632659123257,0.05122706516934664,0.4770992366412214
0.025192624677657947,-0.02235990028969885,0.4541984732824427
0.003768126912167318,0.006409837469820995,0.4541984732824427
0.03335719865559607,0.041471804481343626,0.4732824427480916
0.06572534105809424,0.01350627986526356,0.46564885496183206
0.04403435141866777,0.06951419927219238,0.4961832061068702
0.027867488588465165,0.03565203486047817,0.46564885496183206
0.0283913306419995,0.04749273090878989,0.48091603053435117
0.03753306092789365,0.06162171943528612,0.4770992366412214
0.04395059337040075,0.06406865558170652,0.49236641221374045
0.04010571847813875,0.06730231070600466,0.49236641221374045
0.0499474591417011,0.05678577538062124,0.4961832061068702
0.015244369381768838,0.03402273932677994,0.46564885496183206
0.044806304531110425,0.04854966887565592,0.48091603053435117
