nmi,ari,pur
0.06237702349387198,0.037382734416328216,0.5
0.10594678906125879,0.023455037733752283,0.5267175572519084
0.07281765766038584,0.043032633158289584,0.5
0.06885305604964612,0.007228866270529038,0.4770992366412214
0.06031491875220961,-0.005957859957175063,0.5
0.07185117160012255,0.005769845652995404,0.5076335877862596
0.07392691925507089,0.026063979117956562,0.48091603053435117
0.05433338955851768,0.038718389183040054,0.46946564885496184
0.05971228100410835,0.04572341478209865,0.5
0.06353891083194393,0.048451911050429966,0.4847328244274809
0.03825977102091535,0.019615971237310008,0.48091603053435117
0.07006977702032104,-0.004269944428653557,0.4847328244274809
0.07313866736553104,0.007252975212342861,0.5114503816793893
0.0315474878969598,-0.00271698432280706,0.4618320610687023
0.0633070145761237,-0.005082696197934313,0.5
