,nmi,ari,pur
0,0.6035147066476082,0.7044580314584621,0.8476190476190476
1,0.4367646050024806,0.5298444421724126,0.8
2,0.4367646050024806,0.5298444421724126,0.8
3,0.4367646050024806,0.5298444421724126,0.8
4,0.4367646050024806,0.5298444421724126,0.8
5,0.4367646050024806,0.5298444421724126,0.8
6,0.4367646050024806,0.5298444421724126,0.8
7,0.4367646050024806,0.5298444421724126,0.8
8,0.4367646050024806,0.5298444421724126,0.8
9,0.4367646050024806,0.5298444421724126,0.8
10,0.4367646050024806,0.5298444421724126,0.8
11,0.4367646050024806,0.5298444421724126,0.8
12,0.4367646050024806,0.5298444421724126,0.8
13,0.4367646050024806,0.5298444421724126,0.8
14,0.4367646050024806,0.5298444421724126,0.8
