nmi,ari,pur
0.7197494328207984,0.43212444713351494,0.48695652173913045
0.699369834056374,0.4670174437552587,0.48695652173913045
0.6988975055992243,0.4412230989714296,0.48695652173913045
0.6281112106886831,0.33583192084780816,0.4
0.6818237603758939,0.40826146745681013,0.48695652173913045
0.7049006917423793,0.44240569558736303,0.48695652173913045
0.6988975055992243,0.4412230989714296,0.48695652173913045
0.7364229486374209,0.4590702656617556,0.5043478260869565
0.620978314073429,0.33745154171458197,0.4
0.6972223689258852,0.43655363655166673,0.48695652173913045
0.620978314073429,0.33745154171458197,0.4
0.6533054991799488,0.33313070205599077,0.4
0.6988975055992243,0.4412230989714296,0.48695652173913045
0.6142216771201439,0.30729753984636154,0.4
0.6922302138343026,0.45951732291121117,0.48695652173913045
