,nmi,ari,pur
0,0.5689595386281295,0.6955360426549522,0.9193548387096774
1,0.8888359488640809,0.9348340301822881,0.9838709677419355
2,0.8888359488640809,0.9348340301822881,0.9838709677419355
3,0.8888359488640809,0.9348340301822881,0.9838709677419355
4,0.8888359488640809,0.9348340301822881,0.9838709677419355
5,0.8888359488640809,0.9348340301822881,0.9838709677419355
6,0.8888359488640809,0.9348340301822881,0.9838709677419355
7,0.8888359488640809,0.9348340301822881,0.9838709677419355
8,0.8888359488640809,0.9348340301822881,0.9838709677419355
9,0.8888359488640809,0.9348340301822881,0.9838709677419355
10,0.8888359488640809,0.9348340301822881,0.9838709677419355
11,0.8888359488640809,0.9348340301822881,0.9838709677419355
12,0.8888359488640809,0.9348340301822881,0.9838709677419355
13,0.8888359488640809,0.9348340301822881,0.9838709677419355
14,0.8888359488640809,0.9348340301822881,0.9838709677419355
