nmi,ari,pur
0.09492539015979701,0.03160249585596273,0.6774193548387096
0.6442214633858819,0.7527157125786305,0.9354838709677419
0.8141131499687286,0.8720943340923951,0.967741935483871
0.7010919626146084,0.7536532664896747,0.9354838709677419
0.8888359488640809,0.9348340301822881,0.9838709677419355
0.5779244336127951,0.5927840097100684,0.8870967741935484
0.29936268508642644,0.40324755429325526,0.8225806451612904
0.084342651983687,0.016049888986205223,0.6774193548387096
0.5494711487933407,0.6432219721574599,0.9032258064516129
0.38672055514250847,0.40746729581141744,0.8225806451612904
0.8141131499687286,0.8720943340923951,0.967741935483871
0.7010919626146084,0.7536532664896747,0.9354838709677419
0.7531911842023522,0.8117198165951982,0.9516129032258065
0.6332837305052585,0.7501002533676018,0.9354838709677419
0.11804067732731614,0.06823088845288966,0.6774193548387096
