nmi,ari,pur
0.639401493813706,0.6430085913296646,0.967741935483871
0.6092366176537823,0.42284507973650076,1.0
0.6046178956733982,0.5736338019577879,0.967741935483871
0.7574941941346411,0.684839360995828,1.0
0.6660138639759277,0.5512390336829256,0.9838709677419355
0.6609984361268647,0.7196466531196453,0.9838709677419355
0.5711443246262629,0.46899795690236706,0.967741935483871
0.6223512225594062,0.5748026845841219,0.9838709677419355
0.4392265401384812,0.4233227801041817,0.9193548387096774
0.5841931332355634,0.5571945875903584,0.967741935483871
0.4737297886347265,0.3407842122831323,0.9516129032258065
0.7112726911208598,0.561019184852482,1.0
0.5453477834197054,0.577548687559825,0.9516129032258065
0.5711225066968145,0.5635058482519573,0.967741935483871
0.6629899367644708,0.49756568533161694,1.0
