nmi,ari,pur
0.5588514225611592,0.6490158071309261,0.8476190476190476
0.5669931253866488,0.6707336095581398,0.8476190476190476
0.5444812362868562,0.6350599580734322,0.8380952380952381
0.5419570605901491,0.633502049676734,0.8285714285714286
0.5669931253866488,0.6707336095581398,0.8476190476190476
0.5341734953788154,0.6450449553083591,0.8380952380952381
0.5346188353737197,0.6457669360320217,0.8380952380952381
0.5565690641055878,0.6562743935721287,0.8380952380952381
0.6066706294741138,0.7027676057633918,0.8476190476190476
0.5565690641055878,0.6562743935721287,0.8380952380952381
0.5742347599916561,0.6701190691207491,0.8476190476190476
0.5422677915445419,0.6449195597659982,0.8380952380952381
0.5395312184353424,0.6517608659559051,0.8476190476190476
0.531297778235264,0.6160326027530013,0.819047619047619
0.5607181140952591,0.6471483915071371,0.8380952380952381
