,nmi,ari,pur
0,0.37690897260850886,0.4873302461547331,0.7904761904761904
1,0.3163826620293374,0.34080180694758144,0.7523809523809524
2,0.5392958508437177,0.5976597443609926,0.8380952380952381
3,0.4263420706958058,0.4696515398134519,0.7904761904761904
4,0.40314883557422804,0.4166671702778466,0.7619047619047619
5,0.46030765882862884,0.49039265913382246,0.819047619047619
6,0.3283332984727879,0.34372978201130017,0.7619047619047619
7,0.388212954235388,0.4557896911918911,0.7904761904761904
8,0.3620744751821133,0.4170350846506915,0.7619047619047619
9,0.42415795460368844,0.4836820487457705,0.8
10,0.37565480496344805,0.38590173459382904,0.7714285714285715
11,0.4992918962584394,0.5113061741349051,0.8476190476190476
12,0.37400169984539594,0.38386674786295866,0.7714285714285715
13,0.5083669605818419,0.5052055478304276,0.8476190476190476
14,0.4244215864592106,0.4586450378711293,0.8095238095238095
15,0.041086286227936,0.029466255115188574,0.5523809523809524
16,0.3114546907567877,0.3560248980764105,0.780952380952381
17,0.33975890291394173,0.3335654523632781,0.7333333333333333
18,0.18715193690172063,0.14158234451966709,0.638095238095238
19,0.36753662199847636,0.40439159940069785,0.780952380952381
20,0.47881243762886155,0.4696486427139992,0.7904761904761904
21,0.5152390769894856,0.5006408496228499,0.8095238095238095
22,0.5248299509988341,0.5277820890889338,0.8571428571428571
23,0.41929210822823204,0.4570724744372038,0.8095238095238095
24,0.4361811714369146,0.45802828929995065,0.8095238095238095
25,0.3924450861685943,0.43731649316929944,0.7714285714285715
26,0.5328088627380809,0.5681520037239219,0.8285714285714286
27,0.4975315208192143,0.5278378289638536,0.7904761904761904
28,0.41848889175050497,0.4779195053150335,0.7904761904761904
29,0.4479157223454963,0.48635780517279703,0.780952380952381
30,0.06704150359598997,0.05955511606138562,0.5904761904761905
31,0.11003607575089731,0.0779068598688523,0.5904761904761905
32,0.41897754860788466,0.4222730152571094,0.7619047619047619
33,0.49229121531284153,0.5101132023827157,0.8
34,0.44686846286392945,0.5072313791878387,0.819047619047619
35,0.5138499391863883,0.4724471445677764,0.7904761904761904
36,0.3292555271573403,0.3686776060313024,0.7523809523809524
37,0.4603531345546344,0.5023482986939102,0.8095238095238095
38,0.5649912515968171,0.5728241662043876,0.8380952380952381
39,0.4307288448617886,0.46904195113187214,0.8
40,0.5009294428016122,0.5175464706465988,0.8380952380952381
41,0.4225872989432685,0.42305038496288366,0.7523809523809524
42,0.48720122830466195,0.5526812586324404,0.8
43,0.5637156721616018,0.6022734136756887,0.8095238095238095
44,0.4448836262146983,0.49808400038984096,0.8095238095238095
45,0.263831779962212,0.24630230211478527,0.7047619047619048
46,0.4419597148323793,0.4065123886809618,0.7428571428571429
