nmi,ari,pur
0.5296264524684375,0.5135638228522931,0.8476190476190476
0.5419621702898764,0.5774981743406773,0.8571428571428571
0.5288792314518678,0.5084457317127123,0.8476190476190476
0.5337947276349108,0.5297634086249959,0.8571428571428571
0.5806372090033233,0.641030119279505,0.8285714285714286
0.5728566063363539,0.6514937264003525,0.8285714285714286
0.564889905454305,0.5552331279455254,0.8666666666666667
0.5185033845410659,0.5598146605989266,0.8476190476190476
0.5728566063363542,0.6514937264003525,0.8285714285714286
0.5419570605901491,0.633502049676734,0.8285714285714286
0.5307295631293066,0.5616574108173983,0.8095238095238095
0.5088273955537526,0.5340198086951559,0.8476190476190476
0.502600242611744,0.548743598191021,0.8380952380952381
0.5497626194957718,0.5487265826248877,0.8476190476190476
0.5374854741333797,0.6451454399179873,0.8285714285714286
