nmi,ari,pur
0.1350948574793651,0.008256169418878162,0.5343511450381679
0.10943218453034972,0.010049624412856846,0.5229007633587787
0.13460269350952642,0.01922037473332929,0.5458015267175572
0.11631721235333783,0.0248116345137723,0.5190839694656488
0.1268104689530402,0.016075223540633756,0.5267175572519084
0.14009892243812186,0.024026734950739995,0.5534351145038168
0.11076915490509978,0.014888550174521231,0.5114503816793893
0.12171952755321447,0.012839132116617056,0.5305343511450382
0.13488786371189246,0.02651817126815867,0.5381679389312977
0.1458508288108571,0.0238670245156634,0.5687022900763359
0.11267427492382542,0.017522593985632533,0.5267175572519084
0.14746470008190082,0.040398953724301474,0.5572519083969466
0.10332804338093941,0.01581709325560031,0.5381679389312977
0.13594096000187633,0.014117168915930527,0.5458015267175572
0.13331669399037915,0.020506234698972003,0.5534351145038168
