nmi,ari,pur
0.47164161208961536,0.5627127123745252,0.8751677852348994
0.3831184718759938,0.40271306521292577,0.8174496644295302
0.43387070003369477,0.4518797439994467,0.836241610738255
0.39326321815962406,0.48309916274907494,0.8476510067114094
0.4098354762332588,0.4112886128898839,0.8208053691275168
0.4099366358906029,0.4287008077131836,0.8275167785234899
0.4064419795726421,0.44467962155924445,0.8335570469798658
0.4586726551095935,0.5526789624872543,0.8718120805369127
0.39059736514729204,0.4061319825111615,0.8187919463087249
0.4780951489830316,0.5687759871458662,0.8771812080536913
0.5041519236219372,0.5912858248812094,0.8845637583892617
0.4034429153783849,0.43399368885100587,0.8295302013422818
0.4773302618398825,0.5687758741876217,0.8771812080536913
0.3907102139466388,0.44110046938557507,0.8322147651006712
0.39298883093610537,0.40956433418162913,0.8201342281879195
